city,country_code,latitude,longitude,name,category_code,total_money_raised,founded_year,coordinates
San Bruno,USA,37.627971,-122.426804,YouTube,games_video,$11.5M,2005,"{'type': 'Point', 'coordinates': [37.627971, -122.426804]}"
Fremont,USA,37.465645,-121.932202,GrandCentral,mobile,$4M,2006,"{'type': 'Point', 'coordinates': [37.465645, -121.932202]}"
San Francisco,USA,37.392936,-122.07948,Ustream,games_video,$60.1M,2007,"{'type': 'Point', 'coordinates': [37.392936, -122.07948]}"
Seattle,USA,47.617682,-122.357242,Jobster,search,$52.5M,2004,"{'type': 'Point', 'coordinates': [47.617682, -122.357242]}"
SCHUYLER LAKE,USA,37.488336,-122.217964,Spock,search,$7M,2006,"{'type': 'Point', 'coordinates': [37.488336, -122.217964]}"
San Francisco,USA,37.780716,-122.393913,CastTV,games_video,$3.1M,2006,"{'type': 'Point', 'coordinates': [37.780716, -122.393913]}"
San Francisco,USA,37.757758,-122.388243,Revision3,games_video,$9M,2005,"{'type': 'Point', 'coordinates': [37.757758, -122.388243]}"
Encino,USA,37.269175,-119.306607,SodaHead,web,$12.7M,2007,"{'type': 'Point', 'coordinates': [37.269175, -119.306607]}"
Cambridge,USA,42.375392,-71.118487,iSkoot,mobile,$32.2M,2005,"{'type': 'Point', 'coordinates': [42.375392, -71.118487]}"
San Francisco,USA,37.780134,-122.396744,iSkoot,mobile,$32.2M,2005,"{'type': 'Point', 'coordinates': [37.780134, -122.396744]}"
46395 Bocholt,DEU,51.808933,6.553452,SellABand,games_video,$5M,2006,"{'type': 'Point', 'coordinates': [51.808933, 6.553452]}"
Vancouver,CAN,49.263588,-123.138565,EQO,mobile,$12.5M,2006,"{'type': 'Point', 'coordinates': [49.263588, -123.138565]}"
San Mateo,USA,37.421621,-122.137444,Funny Or Die,games_video,$18M,2007,"{'type': 'Point', 'coordinates': [37.421621, -122.137444]}"
Amsterdam,NLD,52.3745228,4.8948623,Wakoopa,web,$1M,2007,"{'type': 'Point', 'coordinates': [52.3745228, 4.8948623]}"
San Francisco,USA,37.786183,-122.402195,Yelp,search,$90M,2004,"{'type': 'Point', 'coordinates': [37.786183, -122.402195]}"
San Francisco,USA,37.758113,-122.414689,Pageflakes,web,$4.1M,2006,"{'type': 'Point', 'coordinates': [37.758113, -122.414689]}"
Redwood City,USA,37.484619,-122.206893,RockYou,games_video,$136M,2005,"{'type': 'Point', 'coordinates': [37.484619, -122.206893]}"
San Francisco,USA,37.789268,-122.395184,Swivel,search,$2M,2005,"{'type': 'Point', 'coordinates': [37.789268, -122.395184]}"
Paris,FRA,48.870806,2.34668,Netvibes,web,$16M,2005,"{'type': 'Point', 'coordinates': [48.870806, 2.34668]}"
San Francisco,USA,37.782103,-122.401116,Bebo,web,$15M,2005,"{'type': 'Point', 'coordinates': [37.782103, -122.401116]}"
Fairfax,USA,37.09024,-95.712891,WeFi,mobile,$10M,2006,"{'type': 'Point', 'coordinates': [37.09024, -95.712891]}"
Paris,FRA,48.856667,2.350987,TVtrip,web,$13.8M,2007,"{'type': 'Point', 'coordinates': [48.856667, 2.350987]}"
Chicago,USA,41.889474,-87.628912,FeedBurner,web,$8M,2004,"{'type': 'Point', 'coordinates': [41.889474, -87.628912]}"
San Francisco,USA,37.762681,-122.400909,Dogster,web,$1M,2004,"{'type': 'Point', 'coordinates': [37.762681, -122.400909]}"
San Francisco,USA,37.796396,-122.404869,Loomia,web,$7.5M,2004,"{'type': 'Point', 'coordinates': [37.796396, -122.404869]}"
Seattle,USA,47.618599,-122.358484,Newsvine,web,$1.25M,2005,"{'type': 'Point', 'coordinates': [47.618599, -122.358484]}"
Berkeley,USA,37.870744,-122.269259,FlickIM,mobile,$1.6M,2006,"{'type': 'Point', 'coordinates': [37.870744, -122.269259]}"
Mountain View,USA,37.393679,-122.079017,Meebo,web,$70M,2005,"{'type': 'Point', 'coordinates': [37.393679, -122.079017]}"
Palo Alto,USA,37.437328,-122.159928,Terabitz,web,$10M,2006,"{'type': 'Point', 'coordinates': [37.437328, -122.159928]}"
San Francisco,USA,37.779507,-122.39071,Eventbrite,web,$140M,2006,"{'type': 'Point', 'coordinates': [37.779507, -122.39071]}"
Mountain View,USA,37.40047,-122.072981,Wink,search,$6.2M,2004,"{'type': 'Point', 'coordinates': [37.40047, -122.072981]}"
Geneva,CHE,46.20381,6.139959,coComment,web,$5.6M,2006,"{'type': 'Point', 'coordinates': [46.20381, 6.139959]}"
Charlottesville,USA,38.030823,-78.48158,Hotelicopter,web,$5M,2006,"{'type': 'Point', 'coordinates': [38.030823, -78.48158]}"
San Mateo,USA,37.553121,-122.301534,Zvents,web,$31.2M,2005,"{'type': 'Point', 'coordinates': [37.553121, -122.301534]}"
San Francisco,USA,37.775196,-122.419204,Seesmic,web,$16M,2007,"{'type': 'Point', 'coordinates': [37.775196, -122.419204]}"
San Diego,USA,32.872081,-117.206292,Eventful,web,$19.6M,2004,"{'type': 'Point', 'coordinates': [32.872081, -117.206292]}"
Redwood City,USA,37.479952,-122.178557,oDesk,web,$44M,2005,"{'type': 'Point', 'coordinates': [37.479952, -122.178557]}"
Palo Alto,USA,37.451958,-122.116026,ooma,hardware,$81.3M,2004,"{'type': 'Point', 'coordinates': [37.451958, -122.116026]}"
San Francisco,USA,37.782263,-122.392142,GoingOn,software,$8.5M,2008,"{'type': 'Point', 'coordinates': [37.782263, -122.392142]}"
San Francisco,USA,37.766909,-122.406676,Flixster,web,$7.18M,2006,"{'type': 'Point', 'coordinates': [37.766909, -122.406676]}"
Sunnyvale,USA,37.4219165,-122.0780632,Simply Hired,search,$22.3M,2004,"{'type': 'Point', 'coordinates': [37.4219165, -122.0780632]}"
Pleasanton,USA,37.6637279,-121.8731805,spigit,software,$55.6M,2006,"{'type': 'Point', 'coordinates': [37.6637279, -121.8731805]}"
Reston,USA,38.9590083,-77.3592746,spigit,software,$55.6M,2006,"{'type': 'Point', 'coordinates': [38.9590083, -77.3592746]}"
London,GBR,51.5170385,-0.1394759,spigit,software,$55.6M,2006,"{'type': 'Point', 'coordinates': [51.5170385, -0.1394759]}"
Austin,USA,30.407545,-97.717667,Bazaarvoice,software,$131M,2005,"{'type': 'Point', 'coordinates': [30.407545, -97.717667]}"
Menlo Park,USA,37.451026,-122.18676,Jaxtr,mobile,$21.5M,2005,"{'type': 'Point', 'coordinates': [37.451026, -122.18676]}"
Stamford,USA,41.038155,-73.558082,Indeed,web,$5M,2004,"{'type': 'Point', 'coordinates': [41.038155, -73.558082]}"
San Mateo,USA,37.55909,-122.321836,Respectance,web,$1.75M,2006,"{'type': 'Point', 'coordinates': [37.55909, -122.321836]}"
San Francisco,USA,37.787092,-122.399972,Curse,games_video,$12M,2006,"{'type': 'Point', 'coordinates': [37.787092, -122.399972]}"
Mountain View,USA,37.419819,-122.090188,PeerMe,games_video,$5M,2004,"{'type': 'Point', 'coordinates': [37.419819, -122.090188]}"
Sunnyvale,USA,37.386376,-121.991471,Phonezoo,web,$2.06M,2006,"{'type': 'Point', 'coordinates': [37.386376, -121.991471]}"
San Mateo,USA,37.4858654,-122.2262606,Vuze,games_video,$34M,2005,"{'type': 'Point', 'coordinates': [37.4858654, -122.2262606]}"
Palo Alto,USA,37.408256,-122.154176,PodTech,games_video,$7.5M,2005,"{'type': 'Point', 'coordinates': [37.408256, -122.154176]}"
Vancouver,CAN,49.283376,-123.103986,NowPublic,web,$12M,2005,"{'type': 'Point', 'coordinates': [49.283376, -123.103986]}"
Culver City,USA,34.017506,-118.401579,Crackle,games_video,$1.75M,2004,"{'type': 'Point', 'coordinates': [34.017506, -118.401579]}"
Nacka Strand,SWE,59.3167843,18.1582777,Rebtel,mobile,$20M,2006,"{'type': 'Point', 'coordinates': [59.3167843, 18.1582777]}"
Seattle,USA,47.61968,-122.356756,BuddyTV,games_video,$10.6M,2005,"{'type': 'Point', 'coordinates': [47.61968, -122.356756]}"
Sunnyvale,USA,37.368594,-122.034021,Retrevo,web,$11.9M,2006,"{'type': 'Point', 'coordinates': [37.368594, -122.034021]}"
Capelle a/d IJssel,NLD,51.9122575,4.5464658,Nimbuzz,mobile,$25M,2006,"{'type': 'Point', 'coordinates': [51.9122575, 4.5464658]}"
Redwood City,USA,37.524729,-122.258037,obopay,mobile,$145M,2005,"{'type': 'Point', 'coordinates': [37.524729, -122.258037]}"
San Mateo,USA,37.553743,-122.300246,TalkPlus,web,$5.5M,2004,"{'type': 'Point', 'coordinates': [37.553743, -122.300246]}"
Mountain View,USA,37.386665,-122.084171,Tangler,web,$1.5M,2006,"{'type': 'Point', 'coordinates': [37.386665, -122.084171]}"
Waltham,USA,42.417268,-71.258466,PermissionTV,games_video,$9M,2005,"{'type': 'Point', 'coordinates': [42.417268, -71.258466]}"
Mountain View,USA,37.3927975,-122.0727749,IMVU,web,$29M,2004,"{'type': 'Point', 'coordinates': [37.3927975, -122.0727749]}"
,ISR,31.046051,34.851612,Aniboom,games_video,$14.5M,2006,"{'type': 'Point', 'coordinates': [31.046051, 34.851612]}"
,ISR,31.046051,34.851612,KnockaTV,games_video,$4.5M,2007,"{'type': 'Point', 'coordinates': [31.046051, 34.851612]}"
San Diego,USA,32.964294,-117.265191,GreatCall,mobile,$75.3M,2005,"{'type': 'Point', 'coordinates': [32.964294, -117.265191]}"
Los Angeles,USA,34.052187,-118.243425,Revver,games_video,$12.7M,2004,"{'type': 'Point', 'coordinates': [34.052187, -118.243425]}"
,ISR,17.08881,-96.76492,Sportingo,web,$3.2M,2006,"{'type': 'Point', 'coordinates': [17.08881, -96.76492]}"
Menlo Park,USA,37.491356,-122.228843,Flock,web,$28.3M,2005,"{'type': 'Point', 'coordinates': [37.491356, -122.228843]}"
San Francisco,USA,37.7909427,-122.4084994,Dropbox,software,$257M,2007,"{'type': 'Point', 'coordinates': [37.7909427, -122.4084994]}"
Redmond,USA,47.682233,-122.135521,Sampa,web,$1.31M,2005,"{'type': 'Point', 'coordinates': [47.682233, -122.135521]}"
San Francisco,USA,37.781557,-122.407959,DanceJam,games_video,$4.5M,2007,"{'type': 'Point', 'coordinates': [37.781557, -122.407959]}"
San Francisco,USA,37.786942,-122.401245,Kongregate,games_video,$19M,2006,"{'type': 'Point', 'coordinates': [37.786942, -122.401245]}"
San Francisco,USA,37.790998,-122.394668,BitTorrent,web,$40.8M,2004,"{'type': 'Point', 'coordinates': [37.790998, -122.394668]}"
San Francisco,USA,37.7911148,-122.3954751,Yola,web,$25M,2007,"{'type': 'Point', 'coordinates': [37.7911148, -122.3954751]}"
Palo Alto,USA,40.010492,-105.276843,Filtrbox,web,$1.92M,2007,"{'type': 'Point', 'coordinates': [40.010492, -105.276843]}"
Palo Alto,USA,37.427235,-122.145783,Doostang,web,$5.75M,2005,"{'type': 'Point', 'coordinates': [37.427235, -122.145783]}"
Santa Monica,USA,34.018275,-118.495025,Docstoc,web,$4M,2007,"{'type': 'Point', 'coordinates': [34.018275, -118.495025]}"
San Francisco,USA,37.09024,-95.712891,DotBlu,web,$2.25M,2007,"{'type': 'Point', 'coordinates': [37.09024, -95.712891]}"
Cambridge,USA,42.372912,-71.118999,Vlingo,mobile,$26.5M,2006,"{'type': 'Point', 'coordinates': [42.372912, -71.118999]}"
San Francisco,USA,37.782263,-122.392142,Mevio,games_video,$48.9M,2004,"{'type': 'Point', 'coordinates': [37.782263, -122.392142]}"
Seattle,USA,47.610332,-122.339859,Shock Treatment Management,web,$4M,2004,"{'type': 'Point', 'coordinates': [47.610332, -122.339859]}"
Belmont,USA,37.524422,-122.265869,sezmi,games_video,$78.6M,2007,"{'type': 'Point', 'coordinates': [37.524422, -122.265869]}"
Santa Monica,USA,34.017373,-118.453218,sezmi,games_video,$78.6M,2007,"{'type': 'Point', 'coordinates': [34.017373, -118.453218]}"
Fort Lauderdale,USA,26.207024,-80.157296,sezmi,games_video,$78.6M,2007,"{'type': 'Point', 'coordinates': [26.207024, -80.157296]}"
San Francisco,USA,37.766909,-122.406676,Trulia,search,$255M,2004,"{'type': 'Point', 'coordinates': [37.766909, -122.406676]}"
New York,USA,37.09024,-95.712891,SpiralFrog,games_video,$45M,2004,"{'type': 'Point', 'coordinates': [37.09024, -95.712891]}"
Boston,USA,42.350274,-71.058768,MocoSpace,games_video,$10.5M,2005,"{'type': 'Point', 'coordinates': [42.350274, -71.058768]}"
Bangalore,IND,12.971606,77.594376,Minglebox,web,$7M,2006,"{'type': 'Point', 'coordinates': [12.971606, 77.594376]}"
London,GBR,51.5192042,-0.1626103,Wonga,web,$101M,2007,"{'type': 'Point', 'coordinates': [51.5192042, -0.1626103]}"
Palo Alto,USA,37.433414,-122.128772,SnapTell,software,$4M,2006,"{'type': 'Point', 'coordinates': [37.433414, -122.128772]}"
Seattle,USA,47.5999337,-122.3276962,EyeJot,web,$1.15M,2007,"{'type': 'Point', 'coordinates': [47.5999337, -122.3276962]}"
Austin,USA,30.386601,-97.753739,Spiceworks,hardware,$54M,2006,"{'type': 'Point', 'coordinates': [30.386601, -97.753739]}"
New York,USA,40.723384,-74.001704,OMGPOP,games_video,$16.6M,2006,"{'type': 'Point', 'coordinates': [40.723384, -74.001704]}"
San Francisco,USA,37.781265,-122.393229,Crunchyroll,games_video,$4.8M,2008,"{'type': 'Point', 'coordinates': [37.781265, -122.393229]}"
New York,USA,40.74406,-74.004592,Behance,web,$6.5M,2006,"{'type': 'Point', 'coordinates': [40.74406, -74.004592]}"
Mountain View,USA,37.386665,-122.084171,Ooyala,analytics,$122M,2007,"{'type': 'Point', 'coordinates': [37.386665, -122.084171]}"
Palo Alto,USA,37.42746,-122.143915,SayNow,mobile,$7.5M,2005,"{'type': 'Point', 'coordinates': [37.42746, -122.143915]}"
Los Angeles,USA,34.031276,-118.456806,hulu,games_video,$100M,2007,"{'type': 'Point', 'coordinates': [34.031276, -118.456806]}"
San Mateo,USA,37.453687,-122.228595,Attributor,software,$25.2M,2005,"{'type': 'Point', 'coordinates': [37.453687, -122.228595]}"
New York,USA,40.757929,-73.985506,PeekYou,search,$1.83M,2012,"{'type': 'Point', 'coordinates': [40.757929, -73.985506]}"
McLean,USA,38.003376,-79.420926,Mixx,web,$3.5M,2007,"{'type': 'Point', 'coordinates': [38.003376, -79.420926]}"
Los Altos,USA,33.8171,-111.9035,GENWI,mobile,$7.1M,2010,"{'type': 'Point', 'coordinates': [33.8171, -111.9035]}"
Seattle,USA,47.6015315,-122.335943,FlowPlay,games_video,$3.97M,2006,"{'type': 'Point', 'coordinates': [47.6015315, -122.335943]}"
Chicago,USA,41.890376,-87.63406,Viewpoints,web,$5M,2006,"{'type': 'Point', 'coordinates': [41.890376, -87.63406]}"
Needham,USA,42.296111,-71.238524,RatePoint,software,$24.5M,2006,"{'type': 'Point', 'coordinates': [42.296111, -71.238524]}"
West Palm Beach,USA,43.67084,-83.913153,ChessPark,games_video,$1M,2007,"{'type': 'Point', 'coordinates': [43.67084, -83.913153]}"
Sunnyvale,USA,37.368594,-122.034021,MuseStorm,web,$1.5M,2005,"{'type': 'Point', 'coordinates': [37.368594, -122.034021]}"
Cambridge,USA,42.375392,-71.118487,UpDown,web,$1.75M,2007,"{'type': 'Point', 'coordinates': [42.375392, -71.118487]}"
Menlo Park,USA,37.451124,-122.166264,Cuil,search,$33M,2005,"{'type': 'Point', 'coordinates': [37.451124, -122.166264]}"
Cambridge,USA,42.375392,-71.118487,GamerDNA,web,$3M,2006,"{'type': 'Point', 'coordinates': [42.375392, -71.118487]}"
Singapore,SGP,37.580304,-122.343679,mig33,games_video,$32.4M,2005,"{'type': 'Point', 'coordinates': [37.580304, -122.343679]}"
San Mateo,USA,37.557637,-122.285714,SpeedDate,web,$11.6M,2007,"{'type': 'Point', 'coordinates': [37.557637, -122.285714]}"
Los Angeles,USA,34.064491,-118.42749,mEgo,web,$7.35M,2005,"{'type': 'Point', 'coordinates': [34.064491, -118.42749]}"
Solana Beach,USA,33.020832,-117.077311,Metaplace,games_video,$9.4M,2006,"{'type': 'Point', 'coordinates': [33.020832, -117.077311]}"
Livermore,USA,37.661237,-121.803572,BroadClip,software,$3.11M,2006,"{'type': 'Point', 'coordinates': [37.661237, -121.803572]}"
San Mateo,USA,37.566879,-122.323895,Fixya,web,$8M,2013,"{'type': 'Point', 'coordinates': [37.566879, -122.323895]}"
Marina del Rey,USA,33.977854,-118.445271,BuzzDash,web,$1.2M,2006,"{'type': 'Point', 'coordinates': [33.977854, -118.445271]}"
San Francisco,USA,37.789634,-122.404052,Xobni,software,$41.8M,2006,"{'type': 'Point', 'coordinates': [37.789634, -122.404052]}"
New York,USA,40.756799,-73.976348,Worklight,mobile,$17.6M,2006,"{'type': 'Point', 'coordinates': [40.756799, -73.976348]}"
Needham,USA,42.304545,-71.220187,MatchMine,web,$10M,2007,"{'type': 'Point', 'coordinates': [42.304545, -71.220187]}"
Montreal,CAN,45.500277,-73.560084,Mobivox,mobile,$11M,2007,"{'type': 'Point', 'coordinates': [45.500277, -73.560084]}"
San Francisco,USA,37.765125,-122.4044034,3Jam,mobile,$4M,2005,"{'type': 'Point', 'coordinates': [37.765125, -122.4044034]}"
Santa Clara,USA,37.396312,-121.961396,PlaySpan,games_video,$46.3M,2006,"{'type': 'Point', 'coordinates': [37.396312, -121.961396]}"
San Francisco,USA,37.775196,-122.419204,Wikinvest,web,$2.5M,2006,"{'type': 'Point', 'coordinates': [37.775196, -122.419204]}"
Mountain View,USA,37.39248,-122.072612,FriendFeed,web,$5M,2007,"{'type': 'Point', 'coordinates': [37.39248, -122.072612]}"
San Francisco,USA,37.856331,-122.495222,Whiskey Media,web,$4M,2007,"{'type': 'Point', 'coordinates': [37.856331, -122.495222]}"
Madrid,ESP,40.530724,-3.632687,Fon,mobile,€44M,2006,"{'type': 'Point', 'coordinates': [40.530724, -3.632687]}"
New York,USA,40.781159,-73.978332,RayV,games_video,$16M,2005,"{'type': 'Point', 'coordinates': [40.781159, -73.978332]}"
Palo Alto,USA,37.443058,-122.161674,Uptake,web,$16.8M,2008,"{'type': 'Point', 'coordinates': [37.443058, -122.161674]}"
Mountain View,USA,37.386175,-122.083487,Polyvore,web,$22.1M,2007,"{'type': 'Point', 'coordinates': [37.386175, -122.083487]}"
Seattle,USA,47.620716,-122.347533,Treemo Labs,mobile,$2.55M,2005,"{'type': 'Point', 'coordinates': [47.620716, -122.347533]}"
Mountain View,USA,37.09024,-95.712891,23andMe,biotech,$161M,2006,"{'type': 'Point', 'coordinates': [37.09024, -95.712891]}"
San Francisco,USA,37.782809,-122.394354,The Climate Corporation,cleantech,$109M,2006,"{'type': 'Point', 'coordinates': [37.782809, -122.394354]}"
Seattle,USA,47.5984767,-122.3331466,The Climate Corporation,cleantech,$109M,2006,"{'type': 'Point', 'coordinates': [47.5984767, -122.3331466]}"
San Mateo,USA,37.553743,-122.300246,Veodia,games_video,$8.3M,2006,"{'type': 'Point', 'coordinates': [37.553743, -122.300246]}"
San Francisco,USA,37.744274,-122.421344,Automattic,web,$30.6M,2005,"{'type': 'Point', 'coordinates': [37.744274, -122.421344]}"
New York,USA,40.743808,-73.983626,Tumblr,web,$125M,2007,"{'type': 'Point', 'coordinates': [40.743808, -73.983626]}"
Framingham,USA,42.288291,-71.52679,uTest,software,$37.8M,2007,"{'type': 'Point', 'coordinates': [42.288291, -71.52679]}"
Palo Alto,USA,37.445326,-122.160671,EchoSign,web,$8.5M,2005,"{'type': 'Point', 'coordinates': [37.445326, -122.160671]}"
Denver,USA,39.755092,-104.988123,Buzzwire,mobile,$12M,2007,"{'type': 'Point', 'coordinates': [39.755092, -104.988123]}"
,USA,37.790992,-122.40188,Eurekster,web,$6.85M,2004,"{'type': 'Point', 'coordinates': [37.790992, -122.40188]}"
Ann Arbor,USA,42.292649,-83.734673,Zattoo,games_video,$10M,2005,"{'type': 'Point', 'coordinates': [42.292649, -83.734673]}"
San Jose,USA,37.332271,-122.006539,Baynote,software,$27.8M,2004,"{'type': 'Point', 'coordinates': [37.332271, -122.006539]}"
San Francisco,USA,37.791733,-122.398398,Gydget,web,$1M,2007,"{'type': 'Point', 'coordinates': [37.791733, -122.398398]}"
San Francisco,USA,37.787126,-122.39783,Songbird,mobile,$11M,2006,"{'type': 'Point', 'coordinates': [37.787126, -122.39783]}"
Los Altos,USA,37.351894,-122.085807,SezWho,web,$1M,2006,"{'type': 'Point', 'coordinates': [37.351894, -122.085807]}"
San Francisco,USA,37.786906,-122.397672,Disqus,web,$10.5M,2007,"{'type': 'Point', 'coordinates': [37.786906, -122.397672]}"
Seattle,USA,47.607065,-122.335373,Pelago,mobile,$22.4M,2005,"{'type': 'Point', 'coordinates': [47.607065, -122.335373]}"
Seattle,USA,47.603327,-122.334983,Faves,web,$1.5M,2004,"{'type': 'Point', 'coordinates': [47.603327, -122.334983]}"
New York,USA,40.7550005,-73.9717364,Vringo,software,$37M,2006,"{'type': 'Point', 'coordinates': [40.7550005, -73.9717364]}"
Cambridge,GBR,52.195668,0.130647,Evi,search,£2.6M,2005,"{'type': 'Point', 'coordinates': [52.195668, 0.130647]}"
Berlin,DEU,52.523402,13.398694,Plazes,web,€3.7M,2006,"{'type': 'Point', 'coordinates': [52.523402, 13.398694]}"
Tel Aviv,ISR,32.0554,34.7595,Yedda,web,$2.5M,2006,"{'type': 'Point', 'coordinates': [32.0554, 34.7595]}"
Sunnyvale,USA,37.384239,-122.012475,Minekey,web,$3.6M,2005,"{'type': 'Point', 'coordinates': [37.384239, -122.012475]}"
Emeryville,USA,37.838225,-122.296411,RepairPal,web,$21.3M,2007,"{'type': 'Point', 'coordinates': [37.838225, -122.296411]}"
Copenhagen,DNK,55.6839208,12.571492,Zmags,software,$20.8M,2006,"{'type': 'Point', 'coordinates': [55.6839208, 12.571492]}"
London,GBR,51.5111369,-0.1247662,Zmags,software,$20.8M,2006,"{'type': 'Point', 'coordinates': [51.5111369, -0.1247662]}"
Los Angeles,USA,33.982431,-118.426707,StreetFire,web,$7.9M,2004,"{'type': 'Point', 'coordinates': [33.982431, -118.426707]}"
Denver,USA,39.738499,-105.158645,TrackVia,software,$9.02M,2006,"{'type': 'Point', 'coordinates': [39.738499, -105.158645]}"
Mountain View,USA,37.384717,-122.081625,Loopt,mobile,$32M,2005,"{'type': 'Point', 'coordinates': [37.384717, -122.081625]}"
Santa Clara,USA,37.399208,-121.97895,Vobile,web,$10M,2005,"{'type': 'Point', 'coordinates': [37.399208, -121.97895]}"
Seattle,USA,47.620716,-122.347533,RealSelf,web,$1.95M,2006,"{'type': 'Point', 'coordinates': [47.620716, -122.347533]}"
Amsterdam,NLD,37.09024,-95.712891,GeoSentric,mobile,$24.1M,2007,"{'type': 'Point', 'coordinates': [37.09024, -95.712891]}"
San Francisco,USA,37.803847,-122.402468,GameLayers,web,$2M,2007,"{'type': 'Point', 'coordinates': [37.803847, -122.402468]}"
Seattle,USA,47.620716,-122.347533,Zoji,web,$1.5M,2004,"{'type': 'Point', 'coordinates': [47.620716, -122.347533]}"
Venice,USA,33.999004,-118.472297,Mogreet,mobile,$14M,2006,"{'type': 'Point', 'coordinates': [33.999004, -118.472297]}"
New York,USA,38.984172,-77.095965,WEbook,web,$5M,2007,"{'type': 'Point', 'coordinates': [38.984172, -77.095965]}"
Waltham,USA,42.405685,-71.255857,xkoto,software,$11M,2005,"{'type': 'Point', 'coordinates': [42.405685, -71.255857]}"
Emeryville,USA,37.8454819,-122.296342,Seeqpod,search,$7M,2005,"{'type': 'Point', 'coordinates': [37.8454819, -122.296342]}"
London,GBR,51.511599,-0.126389,betNOW,web,$5M,2005,"{'type': 'Point', 'coordinates': [51.511599, -0.126389]}"
New York,USA,40.606061,-73.822331,Motionbox,games_video,$17.2M,2006,"{'type': 'Point', 'coordinates': [40.606061, -73.822331]}"
North Palm Beach,USA,26.820375,-80.058401,divorce360,web,$2.5M,2007,"{'type': 'Point', 'coordinates': [26.820375, -80.058401]}"
Seattle,USA,47.6139472,-122.327807,Jott,web,$5.4M,2006,"{'type': 'Point', 'coordinates': [47.6139472, -122.327807]}"
Maynard,USA,42.431555,-71.483077,Utterz,mobile,$4M,2007,"{'type': 'Point', 'coordinates': [42.431555, -71.483077]}"
Monterey,USA,36.611645,-121.898539,CrossLoop,web,$10.5M,2006,"{'type': 'Point', 'coordinates': [36.611645, -121.898539]}"
Cambridge,USA,42.375392,-71.118487,HubSpot,software,$131M,2006,"{'type': 'Point', 'coordinates': [42.375392, -71.118487]}"
Ramat Gan,ISR,31.046051,34.851612,ClickTale,analytics,$23M,2006,"{'type': 'Point', 'coordinates': [31.046051, 34.851612]}"
Ramat Gan,ISR,32.068424,34.824785,ClickTale,analytics,$23M,2006,"{'type': 'Point', 'coordinates': [32.068424, 34.824785]}"
Fort Lauderdale,USA,26.119102,-80.1343038,TradeKing,web,$6M,2005,"{'type': 'Point', 'coordinates': [26.119102, -80.1343038]}"
New York,USA,40.740231,-73.985433,BeliefNet,web,$7M,2008,"{'type': 'Point', 'coordinates': [40.740231, -73.985433]}"
Paris,PRT,48.882434,2.297035,Bahu,web,€1M,2007,"{'type': 'Point', 'coordinates': [48.882434, 2.297035]}"
,USA,37.09024,-95.712891,Hakia,search,$21.7M,2004,"{'type': 'Point', 'coordinates': [37.09024, -95.712891]}"
